127.0.0.1 - - [10/Nov/2019:15:24:17 +0900] "GET / HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:36 +0900] "GET / HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /flood/rainfall.do HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/plugin/jquery/jquery-1.11.1.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/plugin/jquery/jquery-ui-1.11.1.min.js HTTP/1.1" 200 238326
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/plugin/ol_3/ol.js HTTP/1.1" 200 505326
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/plugin/ol_3/proj4.js HTTP/1.1" 200 73277
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /css/common.css HTTP/1.1" 200 10666
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /css/jquery-ui.css HTTP/1.1" 200 22175
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/plugin/highcharts/highcharts.js HTTP/1.1" 200 238712
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/plugin/highcharts/modules/exporting.js HTTP/1.1" 200 14137
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/component/common_gis.js HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /js/component/common.js HTTP/1.1" 200 3646
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /images/btn_now.gif HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /images/logo.jpg HTTP/1.1" 200 7399
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /images/logo.gif HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /images/legend.gif HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /fonts/NanumBarunGothic.woff HTTP/1.1" 200 898588
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /images/gnb_line.png HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /images/calendar.png HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "POST /floodCont/selectRainfallData.do HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /ncl_images/aws_1hr/2019/11/10/AWS_1HR_PRCP_2019111015_DAEGU.png' HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:37 +0900] "GET /ncl_images/aws_1hr/2019/11/10/AWS_1HR_PRCP_2019111015_DAEGU.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /flood/rainfall.do HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/jquery/jquery-ui-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/jquery/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/ol_3/proj4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/highcharts/highcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/ol_3/ol.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/component/common_gis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/component/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/highcharts/modules/exporting.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/btn_now.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/legend.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/gnb_line.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/calendar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "POST /floodCont/selectRainfallData.do HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /ncl_images/aws_1hr/2019/11/10/AWS_1HR_PRCP_2019111015_DAEGU.png' HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /ncl_images/aws_1hr/2019/11/10/AWS_1HR_PRCP_2019111015_DAEGU.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /flood/rainfall.do HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/jquery/jquery-ui-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/ol_3/ol.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/ol_3/proj4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/highcharts/highcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/highcharts/modules/exporting.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/component/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/plugin/jquery/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /js/component/common_gis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/btn_now.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/legend.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:15:24:38 +0900] "GET /images/gnb_line.png HTTP/1.1" 304 -
